TRADEDATE,ACCURACY_CUMULATIVE
2025-01-17,1.0
2025-05-11,1.0
2024-09-04,1.0
2023-07-06,0.75
2025-06-20,0.8
2023-03-16,0.8333333333333334
2024-03-01,0.7142857142857143
2024-10-23,0.75
2024-08-01,0.7777777777777778
2023-10-30,0.7
2024-04-26,0.6363636363636364
2024-10-28,0.5833333333333334
2023-09-07,0.5384615384615384
2024-12-09,0.5
2025-06-01,0.5333333333333333
2025-06-11,0.5625
2025-03-18,0.5882352941176471
2024-11-02,0.6111111111111112
2025-06-19,0.631578947368421
2024-11-18,0.65
2024-10-24,0.6190476190476191
2023-02-03,0.6363636363636364
2023-04-03,0.6086956521739131
2024-09-16,0.5833333333333334
2023-12-14,0.6
2023-04-13,0.6153846153846154
2024-03-19,0.5925925925925926
2023-02-17,0.5714285714285714
2025-05-10,0.5862068965517241
2025-06-13,0.6
2024-03-05,0.6129032258064516
2023-06-02,0.59375
2025-04-05,0.6060606060606061
2023-02-22,0.6176470588235294
2025-08-12,0.6285714285714286
2024-06-13,0.6111111111111112
2023-09-29,0.6216216216216216
2023-11-02,0.6052631578947368
2025-07-28,0.6153846153846154
2023-03-13,0.6
2023-04-11,0.5853658536585366
2025-04-27,0.5952380952380952
2025-07-05,0.6046511627906976
2024-07-31,0.5909090909090909
2023-05-15,0.6
2023-10-25,0.6086956521739131
2024-06-03,0.5957446808510638
2025-05-23,0.6041666666666666
2025-07-08,0.6122448979591837
2023-11-28,0.6
2025-05-06,0.6078431372549019
2024-03-14,0.6153846153846154
2025-08-04,0.6226415094339622
2023-02-15,0.6296296296296297
2025-02-24,0.6363636363636364
2024-08-21,0.625
2025-08-24,0.631578947368421
2024-10-04,0.6206896551724138
2025-09-23,0.6271186440677966
2025-06-02,0.6333333333333333
2024-05-17,0.639344262295082
2025-05-04,0.6451612903225806
2023-12-22,0.6507936507936508
2023-06-19,0.65625
2023-07-12,0.6615384615384615
2023-09-06,0.6666666666666666
2025-07-02,0.6716417910447762
2023-06-05,0.6617647058823529
2024-12-10,0.6666666666666666
2025-04-14,0.6714285714285714
2024-11-21,0.6619718309859155
2025-08-20,0.6666666666666666
2025-07-03,0.6712328767123288
2025-01-16,0.6756756756756757
2025-06-15,0.68
2024-03-27,0.6710526315789473
2023-02-10,0.6623376623376623
2024-08-30,0.6538461538461539
2025-08-29,0.6582278481012658
2024-07-16,0.6625
2024-05-14,0.6666666666666666
2025-06-27,0.6707317073170732
2025-02-03,0.6746987951807228
2025-06-30,0.6785714285714286
2024-09-26,0.6705882352941176
2024-12-16,0.6744186046511628
2025-05-14,0.6781609195402298
2025-09-08,0.6818181818181818
2023-05-17,0.6741573033707865
2023-12-27,0.6777777777777778
2023-10-09,0.6703296703296703
2024-02-12,0.6739130434782609
2023-01-23,0.6774193548387096
2023-05-29,0.6808510638297872
2023-09-01,0.6736842105263158
2024-06-26,0.6770833333333334
2024-02-07,0.6804123711340206
2023-12-20,0.6836734693877551
2025-07-26,0.6868686868686869
2025-04-22,0.69
2023-05-19,0.693069306930693
2023-05-23,0.696078431372549
2023-11-17,0.6893203883495146
2024-10-18,0.6826923076923077
2024-08-06,0.6761904761904762
2025-08-05,0.6792452830188679
2024-11-14,0.6728971962616822
2025-06-08,0.6759259259259259
2023-08-21,0.6697247706422018
2024-09-20,0.6636363636363637
2023-12-12,0.6666666666666666
2025-07-15,0.6696428571428571
2025-03-02,0.672566371681416
2023-01-26,0.6754385964912281
2025-03-27,0.6782608695652174
2025-04-03,0.6810344827586207
2024-09-24,0.6837606837606838
2024-01-05,0.6864406779661016
2023-10-12,0.6890756302521008
2024-09-10,0.6916666666666667
2025-02-10,0.6942148760330579
2025-09-04,0.6967213114754098
2024-09-27,0.6991869918699187
2024-07-19,0.6935483870967742
2023-02-06,0.688
2023-04-14,0.6825396825396826
2025-05-03,0.6850393700787402
2025-05-07,0.6875
2023-10-04,0.689922480620155
2024-05-13,0.6846153846153846
2024-04-24,0.6870229007633588
2023-12-15,0.6893939393939394
2024-05-21,0.6842105263157895
2024-11-12,0.6865671641791045
2023-05-31,0.6888888888888889
2024-11-13,0.6911764705882353
2023-10-13,0.6861313868613139
2024-06-17,0.6811594202898551
2024-05-16,0.6834532374100719
2023-02-16,0.6785714285714286
2023-10-16,0.6808510638297872
2023-07-10,0.676056338028169
2025-08-19,0.6783216783216783
2023-09-05,0.6736111111111112
2024-03-28,0.6689655172413793
2024-02-08,0.6643835616438356
2024-05-07,0.6666666666666666
2023-10-24,0.6621621621621622
