feature,importance
CHMF_VOLUME,1.7622442233291462
GAZA_VOLUME,1.7358069388582027
GEMA_OPEN,1.7347934061508656
MGKL_VOLUME,1.7263358855992699
KUZB_VOLUME,1.725281964089688
CHGZ_VOLUME,1.7246482677480117
NSVZ_OPEN,1.7211050531257193
SIBN_CLOSE,1.702157672542454
NKHP_VOLUME,1.6992430905779994
DIOD_CLOSE,1.6929402903290198
ROLO_CLOSE,1.6916389898248667
ZILL_OPEN,1.6833084190245466
VSYDP_VOLUME,1.67721792813654
LKOH_VOLUME,1.6763335097313539
YRSBP_VOLUME,1.67603325104307
HEAD_LOW,1.6701939443657075
SIBN_LOW,1.6688296746594313
RUAL_CLOSE,1.6684970805939867
ASSB_VOLUME,1.6658101445555136
NKSH_OPEN,1.6623247694090246
USD000UTSTOM_CLOSE,1.6592698729431756
KROTP_LOW,1.6585015334781248
LNZL_HIGH,1.6580171738204719
KOGK_LOW,1.6580088206693466
VEON-RX_OPEN,1.6567796719271282
LMBZ_VOLUME,1.65525829785646
GEMC_VOLUME,1.6530678742621483
MRKP_CLOSE,1.64988970247282
PRMD_CLOSE,1.6475089268854404
VLHZ_VOLUME,1.6382205449953071
VSYDP_CLOSE,1.6374557212016307
DZRD_VOLUME,1.637248711050498
ABIO_OPEN,1.6325986270195152
PMSBP_LOW,1.615154904655667
OMZZP_OPEN,1.603329664845021
ZILL_CLOSE,1.5994192278369284
LNZL_CLOSE,1.594614637014838
KROT_VOLUME,1.5941815038914922
KZOS_VOLUME,1.5918872778756208
RBCM_VOLUME,1.5916967397842308
SNGSP_VOLUME,1.588708436975675
SOFL_HIGH,1.585904566067069
KROTP_HIGH,1.5834399067754703
LNZLP_VOLUME,1.5833449158721302
EUTR_VOLUME,1.5758590861744513
LMBZ_HIGH,1.5757541680207237
UTAR_OPEN,1.5730358231024564
KZOS_LOW,1.5660688819603514
ELMT_VOLUME,1.556672436871945
NNSB_OPEN,1.5480592844336287
RDRB_VOLUME,1.5472584105735703
ABIO_LOW,1.543581759572054
MRKS_VOLUME,1.5371463036040833
UNAC_VOLUME,1.5353926016993034
KZOS_CLOSE,1.5349071505972838
BSPBP_HIGH,1.5266137513495817
KZOSP_CLOSE,1.5243323464029033
RUAL_OPEN,1.5236124267435887
SBER_VOLUME,1.5123609489519474
ARSA_HIGH,1.5043383045995977
ABIO_HIGH,1.491523481059221
EUTR_CLOSE,1.4877772203348272
NKHP_CLOSE,1.4872459807852445
VSYDP_LOW,1.4657201958062387
ZVEZ_CLOSE,1.4648225332764933
ARSA_VOLUME,1.4593347203563873
KRKOP_HIGH,1.45839999826767
LSRG_HIGH,1.4560044157560899
RBCM_OPEN,1.4550377358657485
RUAL_HIGH,1.4540822592951204
JNOS_OPEN,1.4459264711940805
AMEZ_VOLUME,1.440732328282489
LNZLP_HIGH,1.4371027654631805
VKCO_VOLUME,1.4232223354170055
GMKN_CLOSE,1.4136297366761144
LNZLP_LOW,1.4123755240411402
RGSS_OPEN,1.4084244894971893
KLSB_VOLUME,1.4049712770208007
LSNGP_OPEN,1.4019593332765439
MGKL_OPEN,1.4009349145520698
HEAD_CLOSE,1.392224516915384
YRSB_HIGH,1.38671190746926
MSRS_OPEN,1.385298362294714
KRKOP_OPEN,1.3834904043761227
MSTT_HIGH,1.3662006766902224
GCHE_CLOSE,1.3578804885285807
OZON_VOLUME,1.3568199790554578
VGSB_VOLUME,1.353237372843891
HEAD_HIGH,1.3483096653717583
VJGZ_OPEN,1.345288299999081
CBOM_OPEN,1.3443340927293732
YKEN_LOW,1.3374921055256765
VSYD_CLOSE,1.3366675258616028
LSRG_CLOSE,1.3319429751004075
WTCM_VOLUME,1.3261089693735146
SOFL_OPEN,1.324697903377056
MSTT_OPEN,1.3231975397009152
FLOT_OPEN,1.3228778988448804
NMTP_OPEN,1.322072657796653
YKENP_CLOSE,1.3179161017060401
GMKN_HIGH,1.3158370459918933
EUR_RUB__TOM_LOW,1.3114954333551712
RBCM_HIGH,1.3099568399533656
ROSN_VOLUME,1.3098347310683855
CBOM_VOLUME,1.3078604323338843
GAZP_OPEN,1.3070128613964584
LSNG_VOLUME,1.3051223454508882
SELG_LOW,1.3048462663100882
LNZL_VOLUME,1.3037447070069865
SIBN_OPEN,1.3017074358477185
PMSB_CLOSE,1.2977668234227788
MGNT_VOLUME,1.297506154780075
RKKE_HIGH,1.2931635914632051
DIOD_HIGH,1.2854839279308654
MSNG_LOW,1.2835575212763413
GAZA_LOW,1.2808182288636265
UTAR_CLOSE,1.2801518404193069
FESH_VOLUME,1.2722840420108894
SPBE_CLOSE,1.2721527851101964
SBER_OPEN,1.2689732312680329
TNSE_LOW,1.2604403859193922
YKENP_HIGH,1.2585150690764373
URKZ_OPEN,1.2566065927291161
RASP_CLOSE,1.256487720243601
RASP_LOW,1.2553126476832286
RDRB_OPEN,1.2552683262124953
APRI_HIGH,1.2532039900077103
EUTR_HIGH,1.2466794480099122
EELT_OPEN,1.2440268300608275
KCHEP_HIGH,1.2396857240232986
MRKS_LOW,1.2333339033761548
JNOS_HIGH,1.2319812015066678
TGKBP_OPEN,1.2238953701936655
FESH_OPEN,1.2198427714253632
GCHE_VOLUME,1.1950873131952808
MAGN_VOLUME,1.1845446619647986
GMKN_LOW,1.1826019508802206
YKENP_LOW,1.1798271238207574
SELG_OPEN,1.1796347301419783
SPBE_HIGH,1.179631851128644
CNTL_VOLUME,1.1784123028666549
NNSB_LOW,1.1735267185106515
PAZA_OPEN,1.1704946088128647
IRAO_CLOSE,1.1700505602033227
AFKS_CLOSE,1.1620870962668182
RASP_HIGH,1.1549854221853604
RTSBP_LOW,1.1546548107076824
TNSE_CLOSE,1.151573640806916
ZILL_VOLUME,1.1491186437228007
TNSE_OPEN,1.1476315779013868
CARM_VOLUME,1.1404639166580741
UTAR_HIGH,1.136491486318305
MAGE_LOW,1.135525804019925
TUZA_HIGH,1.1333852615791753
ZVEZ_LOW,1.1308227124897765
RKKE_CLOSE,1.1291539857721542
VSEH_VOLUME,1.1273368700605886
AVAN_OPEN,1.126967555904052
YDEX_CLOSE,1.124542298262546
IGST_CLOSE,1.124284569737445
MRKK_OPEN,1.1239732126942636
PRMD_HIGH,1.123528842983741
LVHK_CLOSE,1.1221612444382134
KAZTP_VOLUME,1.11770738929097
TGKB_OPEN,1.116330207980042
MRKC_CLOSE,1.1113840270968327
SARE_VOLUME,1.1111797286892449
IRKT_HIGH,1.1095524419621137
HNFG_VOLUME,1.1091255033776053
KROTP_OPEN,1.1084071765203871
KZOSP_OPEN,1.108219720822567
MAGE_OPEN,1.1068384738943025
