Model,Accuracy_Before,Accuracy_After,Precision_Before,Precision_After,Recall_Before,Recall_After,F1_Before,F1_After
Perceptron,0.6486486486486487,0.6756756756756757,0.6312299825813339,0.6685463036565977,0.6486486486486487,0.6756756756756757,0.6272991741741741,0.66517841927678
PassiveAggressiveClassifier,0.6148648648648649,0.722972972972973,0.6026519477223703,0.7208076802671397,0.6148648648648649,0.722972972972973,0.6011891891891892,0.7186083210179596
SGDClassifier,0.6554054054054054,0.6891891891891891,0.642308227344992,0.6777293523807442,0.6554054054054054,0.6891891891891891,0.6445206231828507,0.680556076901359
