SECID,BOARDID,NAME
WUSH,TQBR,iВУШХолднг
X5,TQBR,КЦ ИКС 5
YAKG,TQBR,ЯТЭК ао
YDEX,TQBR,ЯНДЕКС
YKEN,TQBR,Якутскэнрг
YKENP,TQBR,Якутскэн-п
YRSB,TQBR,ТНСэнЯр
YRSBP,TQBR,ТНСэнЯр-п
ZAYM,TQBR,Займер ао
ZILL,TQBR,ЗИЛ ао
ZVEZ,TQBR,ЗВЕЗДА ао
