TICKER,ACCURACY,PRECISION,RECALL,F1_SCORE,STATUS
ABIO,0.6959459459459459,0.6911776641506371,0.6959459459459459,0.6917505741035154,SUCCESS
ABRD,0.6554054054054054,0.6468307748442753,0.6554054054054054,0.6485590593198722,SUCCESS
AFKS,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.6486486486486487,SUCCESS
AFLT,0.6554054054054054,0.658643018018018,0.6554054054054054,0.6550795442548021,SUCCESS
AKRN,0.668918918918919,0.6820349761526232,0.668918918918919,0.6747848869277441,SUCCESS
ALRS,0.7297297297297297,0.7322794492605813,0.7297297297297297,0.7309497273414799,SUCCESS
AMEZ,0.6216216216216216,0.5924806385332702,0.6216216216216216,0.6054700633648002,SUCCESS
APRI,0.6351351351351351,0.5799236736736736,0.6351351351351351,0.6008602720367425,SUCCESS
APTK,0.7567567567567568,0.7604599792099792,0.7567567567567568,0.7570487654521268,SUCCESS
AQUA,0.6554054054054054,0.660629821091952,0.6554054054054054,0.6573338584131893,SUCCESS
ARSA,0.6824324324324325,0.6828939945638237,0.6824324324324325,0.6743907064959697,SUCCESS
ASSB,0.6621621621621622,0.6639525725982721,0.6621621621621622,0.6626001868867332,SUCCESS
ASTR,0.7297297297297297,0.7266452466452467,0.7297297297297297,0.7222607810843105,SUCCESS
AVAN,0.6216216216216216,0.6263399319996023,0.6216216216216216,0.622057383470427,SUCCESS
BANEP,0.6216216216216216,0.6252646396396396,0.6216216216216216,0.6233940125692703,SUCCESS
BANE,0.7027027027027027,0.7109697933227345,0.7027027027027027,0.7057129244629243,SUCCESS
BELU,0.6891891891891891,0.6990420339476944,0.6891891891891891,0.6934960854465498,SUCCESS
BISVP,0.6824324324324325,0.6679343211033352,0.6824324324324325,0.6649063846455151,SUCCESS
BLNG,0.581081081081081,0.5718959510198559,0.581081081081081,0.5757965757965757,SUCCESS
BRZL,0.6486486486486487,0.6575653522374834,0.6486486486486487,0.6482299559994513,SUCCESS
BSPBP,0.7162162162162162,0.7153271692745377,0.7162162162162162,0.7157319561449355,SUCCESS
BSPB,0.722972972972973,0.7235135135135136,0.722972972972973,0.7230811243416286,SUCCESS
CARM,0.6418918918918919,0.6438171093826189,0.6418918918918919,0.6421871480487706,SUCCESS
CBOM,0.6081081081081081,0.6046246201183176,0.6081081081081081,0.6062581997562094,SUCCESS
CHGZ,0.6621621621621622,0.6572677863951449,0.6621621621621622,0.6585919131410167,SUCCESS
CHKZ,0.6756756756756757,0.6722806722806722,0.6756756756756757,0.672339756912454,SUCCESS
CHMF,0.7297297297297297,0.732567143281429,0.7297297297297297,0.7310130000532478,SUCCESS
CHMK,0.6148648648648649,0.6165195808052951,0.6148648648648649,0.6152087632062601,SUCCESS
CNRU,0.8513513513513513,0.8280288909599254,0.8513513513513513,0.8317005593601339,SUCCESS
CNTLP,0.7297297297297297,0.7296772904022102,0.7297297297297297,0.7287984717188257,SUCCESS
CNTL,0.722972972972973,0.7316933259790402,0.722972972972973,0.7261640676972342,SUCCESS
DATA,0.8175675675675675,0.8178690423840612,0.8175675675675675,0.8125029593640306,SUCCESS
DELI,0.6756756756756757,0.6654619736015085,0.6756756756756757,0.6689958592132504,SUCCESS
DIAS,0.6891891891891891,0.7013482101667992,0.6891891891891891,0.6932957672306578,SUCCESS
DIOD,0.6756756756756757,0.684934934934935,0.6756756756756757,0.6766822945394374,SUCCESS
DVEC,0.7162162162162162,0.7186373873873875,0.7162162162162162,0.715171757253165,SUCCESS
DZRDP,0.6486486486486487,0.6607682928814,0.6486486486486487,0.6536887686892416,SUCCESS
DZRD,0.6148648648648649,0.595919953578765,0.6148648648648649,0.6023536423782365,SUCCESS
EELT,0.6756756756756757,0.6591844751728472,0.6756756756756757,0.6654091244799208,SUCCESS
ELFV,0.6554054054054054,0.6587652134163762,0.6554054054054054,0.654852912988082,SUCCESS
ELMT,0.7837837837837838,0.7850904259338556,0.7837837837837838,0.7833375382182738,SUCCESS
ENPG,0.7027027027027027,0.7038583182200203,0.7027027027027027,0.703129503580693,SUCCESS
ETLN,0.6959459459459459,0.7001112877583465,0.6959459459459459,0.6977536230249197,SUCCESS
EUTR,0.7162162162162162,0.7187555287285745,0.7162162162162162,0.7174330174330175,SUCCESS
FEES,0.6891891891891891,0.6895681739431739,0.6891891891891891,0.6893415972363339,SUCCESS
FESH,0.7162162162162162,0.7127059147432662,0.7162162162162162,0.7130487246237557,SUCCESS
FIXR,0.972972972972973,0.9847972972972973,0.972972972972973,0.9785916658708179,SUCCESS
FLOT,0.6756756756756757,0.6754369785281066,0.6756756756756757,0.6754158004158004,SUCCESS
GAZAP,0.5337837837837838,0.5945452730464532,0.5337837837837838,0.553293918918919,SUCCESS
GAZA,0.6418918918918919,0.6503536784866708,0.6418918918918919,0.6453674305396174,SUCCESS
GAZP,1.0,1.0,1.0,1.0,SUCCESS
GCHE,0.6824324324324325,0.6821195937566339,0.6824324324324325,0.6799208299208299,SUCCESS
GECO,0.6824324324324325,0.6831675993585699,0.6824324324324325,0.6823188941049515,SUCCESS
GEMA,0.6554054054054054,0.6498007223813677,0.6554054054054054,0.6504229693884866,SUCCESS
GEMC,0.6418918918918919,0.6295360045360046,0.6418918918918919,0.6345312270969341,SUCCESS
GMKN,0.6891891891891891,0.6883334414847019,0.6891891891891891,0.6882637605573397,SUCCESS
GTRK,0.6756756756756757,0.6585767218831735,0.6756756756756757,0.6625862068244144,SUCCESS
HEAD,0.8175675675675675,0.823473739697144,0.8175675675675675,0.7998848547629035,SUCCESS
HIMCP,0.6891891891891891,0.6887637637637637,0.6891891891891891,0.6889393758552638,SUCCESS
HNFG,0.6148648648648649,0.6465673262548263,0.6148648648648649,0.622512285012285,SUCCESS
HYDR,0.7635135135135135,0.7615242793814222,0.7635135135135135,0.7624635417598626,SUCCESS
IGSTP,0.6824324324324325,0.6918900889806062,0.6824324324324325,0.6852708172932892,SUCCESS
IGST,0.7027027027027027,0.6929386818940431,0.7027027027027027,0.6971806971806973,SUCCESS
IRAO,0.7094594594594594,0.7165375741595253,0.7094594594594594,0.7086611683587519,SUCCESS
IRKT,0.7162162162162162,0.7182182182182183,0.7162162162162162,0.71705902519856,SUCCESS
IVAT,0.7837837837837838,0.7856023959697294,0.7837837837837838,0.7735755332656662,SUCCESS
JNOSP,0.6756756756756757,0.6665496665496665,0.6756756756756757,0.6703462619111898,SUCCESS
JNOS,0.6216216216216216,0.6228595942881657,0.6216216216216216,0.6221191646191646,SUCCESS
KAZTP,0.6554054054054054,0.6583290486982603,0.6554054054054054,0.6563945276087477,SUCCESS
KAZT,0.6283783783783784,0.6323631323631324,0.6283783783783784,0.6301395718637148,SUCCESS
KBSB,0.6081081081081081,0.6058839838946886,0.6081081081081081,0.6044916206006331,SUCCESS
