Date,GAZP_Open,GAZP_Close,GAZP_Volume,SBER_Open,SBER_Close,SBER_Volume,LKOH_Open,LKOH_Close,LKOH_Volume,ROSN_Open,ROSN_Close,ROSN_Volume,YNDX_Open,YNDX_Close,YNDX_Volume,KeyRate,GAZP_TARGET_DIRECTION,SBER_TARGET_DIRECTION,LKOH_TARGET_DIRECTION,ROSN_TARGET_DIRECTION,YNDX_TARGET_DIRECTION
2023-01-03,163.0,163.52,6386140.0,141.6,141.78,21098550.0,4082.0,4123.5,321492.0,367.95,368.05,2643653.0,1817.0,1832.0,210144.0,17.0,-1,-1,-1,-1,1
2023-01-04,163.48,162.51,6677170.0,141.85,141.43,17112740.0,4124.0,4116.0,405820.0,366.5,365.8,1805528.0,1832.0,1867.0,221874.0,17.0,-1,-1,-1,1,-1
2023-01-05,162.5,161.2,7605990.0,141.6,141.27,17245300.0,4121.5,4087.0,176209.0,367.2,367.5,1325831.0,1871.0,1855.4,156867.0,17.0,1,1,1,-1,-1
2023-01-06,161.2,162.1,5247160.0,141.39,141.4,10657600.0,4088.0,4089.0,239862.0,368.0,367.3,938436.0,1856.0,1850.4,74726.0,17.0,1,1,1,1,1
2023-01-09,162.99,162.71,9747070.0,141.83,142.4,31449160.0,4105.0,4110.0,356313.0,368.2,367.95,4351231.0,1855.8,1866.8,216523.0,17.0,-1,1,-1,-1,1
2023-01-10,162.71,162.1,7348430.0,142.1,142.81,23718180.0,4100.0,4079.0,287625.0,367.3,366.75,5593572.0,1869.8,1870.0,195539.0,17.0,1,1,1,-1,1
2023-01-11,162.05,165.83,25247100.0,142.97,149.96,123147040.0,4080.0,4090.5,264357.0,347.6,347.35,8210663.0,1874.8,1909.0,307074.0,17.0,-1,-1,-1,-1,-1
2023-01-12,165.71,164.17,11374610.0,150.02,149.3,46789300.0,4091.0,4078.5,175454.0,347.2,346.85,1530649.0,1909.0,1897.8,203032.0,17.0,1,1,-1,-1,1
2023-01-13,164.3,164.56,12251190.0,149.58,151.69,88520210.0,4080.0,4074.0,222760.0,346.0,346.05,1410265.0,1900.0,1912.0,208336.0,17.0,1,1,-1,-1,1
2023-01-16,165.1,165.8,14684580.0,152.89,153.71,51753920.0,4078.0,4052.0,463287.0,346.45,345.8,1712033.0,1925.6,1953.8,314693.0,17.0,-1,-1,-1,-1,-1
2023-01-17,165.8,162.33,18071260.0,154.0,150.45,84404770.0,4052.5,4025.0,326706.0,345.7,341.35,2008466.0,1959.0,1889.6,533198.0,17.0,-1,1,-1,1,1
2023-01-18,162.52,162.18,14474410.0,150.4,151.47,67511970.0,4037.5,4021.0,270721.0,340.35,344.15,2042642.0,1889.0,1906.6,408580.0,17.0,-1,-1,-1,-1,-1
2023-01-19,161.99,160.53,15637850.0,151.2,149.34,66813960.0,4019.5,3981.0,414205.0,343.3,339.8,1693494.0,1910.0,1882.4,196325.0,17.0,-1,1,-1,-1,1
2023-01-20,160.56,158.85,16523360.0,149.7,151.38,44254820.0,3982.0,3944.0,384133.0,339.9,336.55,2291895.0,1877.8,1904.8,308450.0,17.0,1,1,1,1,1
2023-01-23,158.85,160.06,15094450.0,151.9,153.5,55198870.0,3950.0,3972.5,340221.0,338.5,340.05,1157821.0,1910.0,1945.0,338795.0,17.0,-1,-1,-1,-1,-1
2023-01-24,160.3,157.88,16620430.0,153.95,152.66,78734130.0,3986.0,3942.5,296368.0,340.95,336.75,1842595.0,1949.6,1919.8,422884.0,17.0,1,1,-1,1,-1
2023-01-25,157.9,158.99,15570640.0,152.45,152.81,43376700.0,3949.0,3923.5,542133.0,336.55,338.2,1289489.0,1920.2,1914.8,237593.0,17.0,-1,-1,-1,-1,-1
2023-01-26,159.12,157.58,12385230.0,153.32,152.4,45513320.0,3924.0,3911.0,326405.0,338.4,335.0,2094299.0,1910.0,1902.8,250598.0,17.0,1,1,1,1,1
2023-01-27,157.58,159.08,12293860.0,152.4,153.2,34123690.0,3911.0,3917.0,473474.0,334.9,336.95,1452416.0,1900.0,1912.0,154610.0,17.0,-1,1,1,1,1
2023-01-30,159.08,158.41,10740220.0,153.5,153.38,31105220.0,3929.0,3947.5,321296.0,337.1,337.65,1340203.0,1912.0,1934.0,188918.0,17.0,-1,1,1,1,1
2023-01-31,158.41,158.1,15129060.0,153.51,158.07,77890320.0,3947.0,3955.0,377660.0,337.1,340.75,2100646.0,1938.6,2047.2,1186594.0,17.0,1,1,1,1,1
2023-02-01,158.3,158.12,14240340.0,158.2,158.29,66332200.0,3959.5,3955.5,354764.0,340.95,343.0,2824423.0,2050.0,2088.0,1733264.0,17.0,-1,1,-1,-1,-1
2023-02-02,158.44,158.1,11991300.0,158.4,159.45,53866380.0,3955.5,3918.5,567894.0,344.3,342.1,1679683.0,2099.8,2075.0,420353.0,17.0,1,1,-1,-1,-1
2023-02-03,158.09,160.87,69539880.0,159.1,161.26,63735330.0,3918.0,3907.5,551146.0,342.0,341.85,1675134.0,2074.8,2055.8,538459.0,17.0,-1,1,1,1,1
2023-02-06,160.68,160.14,28144330.0,161.78,167.09,89083530.0,3908.0,3941.0,412519.0,341.5,347.1,2997448.0,2070.0,2094.6,764671.0,17.0,-1,-1,1,1,-1
2023-02-07,160.5,159.87,13954930.0,167.3,165.39,92661570.0,3950.5,3968.0,390661.0,348.0,355.25,5389845.0,2090.0,2076.6,442888.0,17.0,-1,-1,-1,-1,-1
2023-02-08,160.01,158.18,16688290.0,165.0,164.15,58669030.0,3979.0,3930.5,533759.0,355.6,349.85,4779204.0,2080.6,2060.2,421576.0,17.0,1,1,-1,1,-1
2023-02-09,158.5,159.19,27661050.0,164.33,165.31,107139220.0,3949.0,3914.0,295567.0,359.25,350.2,2690042.0,2057.2,2040.4,246706.0,17.0,-1,1,1,1,1
2023-02-10,159.07,158.68,9874270.0,165.0,165.52,40924680.0,3915.0,3921.5,315593.0,349.1,351.0,1620455.0,2046.2,2060.8,322535.0,17.0,-1,-1,1,-1,1
2023-02-13,159.47,158.01,11418540.0,165.2,164.32,36212200.0,3941.5,3928.5,285214.0,350.25,349.4,1657489.0,2071.0,2065.2,399731.0,17.0,-1,-1,-1,-1,-1
2023-02-14,157.9,156.52,18614580.0,164.3,161.86,58832960.0,3928.5,3914.5,287643.0,349.9,344.2,3195263.0,2064.8,2028.6,796126.0,17.0,-1,-1,-1,-1,-1
2023-02-15,156.05,153.09,27565120.0,160.94,156.25,113804160.0,3903.0,3829.0,701274.0,343.05,339.6,3436125.0,2030.2,1969.2,1837212.0,17.0,1,1,1,1,1
2023-02-16,154.01,153.56,17324800.0,157.33,158.22,68549280.0,3840.0,3830.0,342417.0,341.25,342.55,1708870.0,1980.0,1976.4,626499.0,17.0,1,1,1,1,-1
2023-02-17,153.4,153.62,13264910.0,158.0,159.73,52179940.0,3830.0,3840.0,250591.0,341.2,345.1,1786186.0,1975.0,1971.0,332342.0,17.0,-1,1,1,1,-1
2023-02-20,153.62,153.24,15317010.0,159.41,160.09,63971610.0,3849.5,3905.0,451382.0,345.1,347.1,2427456.0,1963.0,1958.0,449058.0,17.0,1,1,1,1,1
2023-02-21,153.61,154.97,21395970.0,160.66,164.15,127422480.0,3912.0,3914.5,373583.0,347.1,352.65,3530968.0,1970.0,1993.8,821232.0,17.0,1,-1,-1,1,-1
2023-02-22,154.89,155.31,11653990.0,164.13,163.37,43772430.0,3915.5,3909.5,195649.0,352.65,353.75,1609305.0,1998.6,1980.4,242292.0,17.0,-1,1,-1,-1,1
2023-02-24,155.53,154.22,9977840.0,163.33,164.3,37727230.0,3916.0,3901.0,123659.0,354.1,352.45,1165938.0,1986.4,1986.6,144989.0,17.0,1,1,1,1,1
2023-02-27,153.9,156.34,17130630.0,163.52,169.95,100133280.0,3881.5,3903.0,317560.0,350.3,357.75,2348863.0,1948.0,2007.4,669644.0,17.0,1,-1,1,1,1
2023-02-28,156.49,157.66,18437840.0,170.5,169.82,80748140.0,3905.5,3990.0,1174897.0,357.75,358.4,2611622.0,2015.0,2015.0,353995.0,17.0,1,1,1,1,1
2023-03-01,158.0,164.5,67730800.0,170.4,170.53,53784730.0,4012.0,4056.0,827958.0,359.1,361.4,2680417.0,2016.0,2033.8,343545.0,17.0,-1,-1,-1,-1,-1
2023-03-02,164.18,160.9,53198820.0,170.4,168.05,86095640.0,4056.5,4004.0,1013506.0,361.7,355.05,3623800.0,2037.8,1970.8,1220606.0,17.0,1,1,1,1,1
2023-03-03,161.2,162.27,21331010.0,168.17,171.16,49566770.0,4003.0,4030.5,467509.0,354.2,358.8,1636611.0,1970.4,1984.2,355874.0,17.0,1,1,1,1,-1
2023-03-06,163.2,163.35,19513700.0,172.14,171.84,64585290.0,4048.0,4111.5,767483.0,361.9,365.35,2482957.0,1996.0,1973.0,591453.0,17.0,-1,1,1,-1,-1
2023-03-07,163.8,162.57,13857120.0,171.87,174.01,55287380.0,4124.5,4125.0,446449.0,365.35,364.3,2056313.0,1974.8,1961.8,338370.0,17.0,-1,-1,-1,-1,-1
2023-03-09,162.21,161.21,13951080.0,174.85,172.55,80393110.0,4125.0,4105.0,369041.0,365.0,364.0,1638130.0,1962.0,1942.0,465674.0,17.0,-1,-1,-1,1,-1
2023-03-10,160.5,160.04,17242280.0,171.55,172.53,50256970.0,4088.0,4085.0,411767.0,363.0,365.9,2272085.0,1933.8,1917.0,481031.0,17.0,-1,-1,-1,-1,-1
2023-03-13,160.35,159.03,20242370.0,172.5,172.15,74032280.0,4090.5,4066.0,458634.0,366.2,363.5,3132965.0,1919.4,1907.4,680349.0,17.0,1,1,-1,1,-1
