TRADEDATE,ACCURACY_CUMULATIVE
2025-05-23,1.0
2023-06-02,0.5
2024-08-30,0.3333333333333333
2023-12-14,0.25
2024-08-01,0.4
2024-10-23,0.5
2023-07-10,0.42857142857142855
2024-09-16,0.5
2025-02-24,0.5555555555555556
2024-05-14,0.5
2025-08-30,0.5454545454545454
2023-10-09,0.5833333333333334
2024-03-19,0.5384615384615384
2025-07-03,0.5
2024-03-01,0.5333333333333333
2024-09-04,0.5625
2023-09-07,0.5882352941176471
2025-08-20,0.6111111111111112
2024-03-05,0.5789473684210527
2023-07-06,0.55
2025-06-02,0.5714285714285714
2024-12-10,0.5454545454545454
2025-07-05,0.5652173913043478
2024-10-24,0.5416666666666666
2025-07-08,0.56
2025-08-25,0.5769230769230769
2023-02-03,0.5925925925925926
2024-11-18,0.6071428571428571
2024-12-09,0.6206896551724138
2025-08-29,0.6333333333333333
2024-04-26,0.6129032258064516
2025-09-24,0.625
2025-06-20,0.6363636363636364
2025-06-11,0.6470588235294118
2025-06-19,0.6571428571428571
2023-02-22,0.6666666666666666
2023-09-29,0.6486486486486487
2023-02-06,0.6578947368421053
2024-11-14,0.6410256410256411
2025-05-10,0.65
2025-06-01,0.6585365853658537
2023-09-05,0.6666666666666666
2024-10-18,0.6744186046511628
2025-04-05,0.6818181818181818
2025-06-30,0.6888888888888889
2023-04-03,0.6739130434782609
2024-07-31,0.6595744680851063
2023-05-15,0.6666666666666666
2023-10-25,0.673469387755102
2023-09-01,0.66
2023-04-11,0.6470588235294118
2023-02-17,0.6346153846153846
2025-08-04,0.6415094339622641
2023-11-28,0.6296296296296297
2024-06-13,0.6181818181818182
2024-03-14,0.6071428571428571
2025-09-08,0.6140350877192983
2023-10-24,0.6206896551724138
2025-03-18,0.6271186440677966
2024-08-21,0.6166666666666667
2023-12-22,0.6229508196721312
2025-01-17,0.6290322580645161
2024-09-27,0.6349206349206349
2024-03-28,0.625
2025-07-28,0.6307692307692307
2024-05-17,0.6212121212121212
2025-05-06,0.6268656716417911
2023-06-19,0.6176470588235294
2023-07-12,0.6231884057971014
2023-09-06,0.6285714285714286
2025-04-14,0.6338028169014085
2024-05-07,0.6388888888888888
2023-03-13,0.6301369863013698
2024-07-19,0.6351351351351351
2024-11-21,0.6266666666666667
2025-06-13,0.631578947368421
2023-03-16,0.6363636363636364
2025-01-16,0.6410256410256411
2025-06-15,0.6455696202531646
2025-05-04,0.65
2024-03-27,0.654320987654321
2023-02-10,0.6463414634146342
2024-01-05,0.6506024096385542
2025-07-02,0.6547619047619048
2023-11-02,0.6588235294117647
2025-08-12,0.6627906976744186
2024-07-16,0.6551724137931034
2023-12-15,0.6477272727272727
2025-06-27,0.651685393258427
2025-02-03,0.6555555555555556
2023-08-21,0.6593406593406593
2024-08-06,0.6521739130434783
2024-12-16,0.6559139784946236
2025-05-14,0.6595744680851063
2025-05-11,0.6631578947368421
2023-05-17,0.6666666666666666
2023-12-27,0.6597938144329897
2025-04-27,0.6632653061224489
2023-06-05,0.6666666666666666
2024-02-12,0.67
2023-01-23,0.6732673267326733
2023-05-29,0.6666666666666666
2024-09-26,0.6601941747572816
2024-06-26,0.6538461538461539
2024-02-07,0.6571428571428571
2024-10-28,0.660377358490566
2023-12-20,0.6635514018691588
2025-07-26,0.6666666666666666
2025-04-22,0.6697247706422018
2023-05-19,0.6727272727272727
2023-05-23,0.6756756756756757
2023-01-26,0.6696428571428571
2024-09-20,0.672566371681416
2023-10-30,0.6666666666666666
2025-08-05,0.6695652173913044
2024-11-02,0.6724137931034483
2025-06-08,0.6752136752136753
2024-06-03,0.6779661016949152
2024-10-04,0.6722689075630253
2023-12-12,0.6666666666666666
2025-07-15,0.6694214876033058
2025-03-02,0.6721311475409836
2023-10-12,0.6747967479674797
2023-04-13,0.6693548387096774
2025-03-27,0.672
2025-04-03,0.6746031746031746
2024-09-24,0.6692913385826772
2023-11-17,0.671875
2024-02-08,0.6744186046511628
2024-09-10,0.676923076923077
2025-02-10,0.6793893129770993
2025-09-05,0.6818181818181818
2023-04-14,0.6842105263157895
2025-05-03,0.6865671641791045
2025-05-07,0.6888888888888889
2023-02-15,0.6911764705882353
2024-05-13,0.6934306569343066
2024-04-24,0.6884057971014492
2023-10-04,0.6906474820143885
2024-05-21,0.6928571428571428
2024-11-12,0.6950354609929078
2023-05-31,0.6901408450704225
2024-11-13,0.6923076923076923
2023-10-13,0.6944444444444444
2024-06-17,0.6896551724137931
2024-05-16,0.6917808219178082
2023-02-16,0.6870748299319728
2023-10-16,0.6891891891891891
