TICKER,ACCURACY,PRECISION,RECALL,F1_SCORE,STATUS
ABIO,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6621621621621622,SUCCESS
ABRD,0.6486486486486487,0.6388798326654115,0.6486486486486487,0.6406563768891578,SUCCESS
AFKS,0.6824324324324325,0.6861104628961773,0.6824324324324325,0.6840051124600368,SUCCESS
AFLT,0.6824324324324325,0.6862423605912651,0.6824324324324325,0.6816943776274146,SUCCESS
AKRN,0.6756756756756757,0.6843135749385749,0.6756756756756757,0.6785421785421786,SUCCESS
ALRS,0.7432432432432432,0.7427825552825553,0.7432432432432432,0.7426270370195603,SUCCESS
AMEZ,0.5878378378378378,0.5721949221949222,0.5878378378378378,0.5796046046046046,SUCCESS
APRI,0.6824324324324325,0.7254149937076766,0.6824324324324325,0.7011218671396646,SUCCESS
APTK,0.75,0.7503925775202371,0.75,0.7501536098310293,SUCCESS
AQUA,0.6824324324324325,0.6733215586655268,0.6824324324324325,0.6744915004576535,SUCCESS
ARSA,0.6959459459459459,0.7009293346502649,0.6959459459459459,0.6979379379379379,SUCCESS
ASSB,0.6554054054054054,0.6576431788931789,0.6554054054054054,0.6562759719077911,SUCCESS
ASTR,0.7094594594594594,0.7096623757582661,0.7094594594594594,0.6941258104061698,SUCCESS
AVAN,0.6013513513513513,0.6164018550069855,0.6013513513513513,0.6020595357674009,SUCCESS
BANEP,0.6351351351351351,0.638643018018018,0.6351351351351351,0.6368392760145337,SUCCESS
BANE,0.7027027027027027,0.7109697933227345,0.7027027027027027,0.7057129244629243,SUCCESS
BELU,0.6621621621621622,0.6677100214334256,0.6621621621621622,0.6642141671746936,SUCCESS
BISVP,0.6554054054054054,0.6412874723358595,0.6554054054054054,0.6439725890001409,SUCCESS
BLNG,0.5878378378378378,0.57511557011557,0.5878378378378378,0.5796227866340968,SUCCESS
BRZL,0.6351351351351351,0.6400371634034248,0.6351351351351351,0.6369054583340297,SUCCESS
BSPBP,0.7162162162162162,0.7097535035035035,0.7162162162162162,0.7126152126152127,SUCCESS
BSPB,0.6756756756756757,0.683860010431015,0.6756756756756757,0.6764647467725918,SUCCESS
CARM,0.6486486486486487,0.6478681036724331,0.6486486486486487,0.647818786423119,SUCCESS
CBOM,0.6418918918918919,0.6388335335903724,0.6418918918918919,0.6401122165221619,SUCCESS
CHGZ,0.6756756756756757,0.6765170831208568,0.6756756756756757,0.6736824951110665,SUCCESS
CHKZ,0.6959459459459459,0.6963663663663664,0.6959459459459459,0.6955326336975273,SUCCESS
CHMF,0.7635135135135135,0.7680395706711497,0.7635135135135135,0.7638816910284503,SUCCESS
CHMK,0.6554054054054054,0.6569694022701542,0.6554054054054054,0.6557372419441384,SUCCESS
CNRU,0.8243243243243243,0.7869300598308232,0.8243243243243243,0.799465601965602,SUCCESS
CNTLP,0.6824324324324325,0.6754414851356947,0.6824324324324325,0.6739172532955546,SUCCESS
CNTL,0.6959459459459459,0.6974032856385798,0.6959459459459459,0.6965205590205589,SUCCESS
DATA,0.7972972972972973,0.8336148648648649,0.7972972972972973,0.7802745405290417,SUCCESS
DELI,0.7162162162162162,0.728932836490976,0.7162162162162162,0.7217796013002069,SUCCESS
DIAS,0.6891891891891891,0.6918698004224321,0.6891891891891891,0.6897927484134382,SUCCESS
DIOD,0.6486486486486487,0.6432608353201058,0.6486486486486487,0.6448845007013324,SUCCESS
